run_index	run_name	replicate	config_file	result_dir	fastq_file	genome	AAV	IS_site_bias	clonality	genome_fnam	AAV_genome_fnam	tes_panel_fnam	prob_file	empirical_sizes	sampling_prob_bed	expansion	events	seed	fastq_md5sum
1	HESI_ISA_simulation_001	rep1	config_files/HESI_ISA_simulation_001.yaml	simulation_output/HESI_ISA_simulation_001	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[900, 1]	101	1	3e2231b93cbac6025497f3b9171ead90
1	HESI_ISA_simulation_001	rep2	config_files/HESI_ISA_simulation_001.yaml	simulation_output/HESI_ISA_simulation_001	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[900, 1]	101	2	b2343f549660e5f4c754065d53fb8641
1	HESI_ISA_simulation_001	rep3	config_files/HESI_ISA_simulation_001.yaml	simulation_output/HESI_ISA_simulation_001	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[900, 1]	101	3	165a298c2384b6ad416ebfca176ed681
2	HESI_ISA_simulation_002	rep1	config_files/HESI_ISA_simulation_002.yaml	simulation_output/HESI_ISA_simulation_002	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[500, 1]	501	101	050cb6a9918d4c386414aba514a81a98
2	HESI_ISA_simulation_002	rep2	config_files/HESI_ISA_simulation_002.yaml	simulation_output/HESI_ISA_simulation_002	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[500, 1]	501	102	90f174d22c59d9cf2e20efc7f8a37329
2	HESI_ISA_simulation_002	rep3	config_files/HESI_ISA_simulation_002.yaml	simulation_output/HESI_ISA_simulation_002	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[500, 1]	501	103	47a01c35caf5793795a10bf8aa0c3fa2
3	HESI_ISA_simulation_003	rep1	config_files/HESI_ISA_simulation_003.yaml	simulation_output/HESI_ISA_simulation_003	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[100, 1]	901	201	d996953d0c799f7077815fad4072ab68
3	HESI_ISA_simulation_003	rep2	config_files/HESI_ISA_simulation_003.yaml	simulation_output/HESI_ISA_simulation_003	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[100, 1]	901	202	efd1f261fb0507e73ee72779e158e84e
3	HESI_ISA_simulation_003	rep3	config_files/HESI_ISA_simulation_003.yaml	simulation_output/HESI_ISA_simulation_003	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		[100, 1]	901	203	511d15170987f6aeebbe52747624a7cd
4	HESI_ISA_simulation_004	rep1	config_files/HESI_ISA_simulation_004.yaml	simulation_output/HESI_ISA_simulation_004	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	uniform	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt		1	1000	301	858642489604bde54155a0733f7fa7be
