Sample_name	breakend.1	breakend.2	Length.IS	IS.deletion	IS.insertion	translocation
FXNHighAAV	4545	4638	92	0	0	FALSE
FXNHighAAV	2130	2227	96	0	33	TRUE
FXNHighAAV	821	869	47	0	42	TRUE
FXNHighAAV	2831	3578	1066	0	0	FALSE
FXNHighAAV	2831	3578	862	0	0	FALSE
FXNHighAAV	3578	2831	1069	0	2	FALSE
FXNHighAAV	3191	2516	674	0	0	FALSE
FXNHighAAV	799	4563	1638	0	6	FALSE
FXNHighAAV	1020	2554	1320	0	0	FALSE
FXNHighAAV	2609	986	1267	0	0	FALSE
FXNHighAAV	2219	2627	401	0	0	FALSE
FXNHighAAV	2098	2541	514	0	0	FALSE
FXNHighAAV	2085	3102	1010	0	11	FALSE
FXNHighAAV	2085	3102	1010	0	11	FALSE
FXNHighAAV	2086	3102	1008	0	13	FALSE
FXNHighAAV	2053	3102	1114	0	1	FALSE
FXNHighAAV	2473	3158	687	0	1	FALSE
FXNHighAAV	2473	3158	684	0	1	FALSE
FXNHighAAV	3159	2473	685	0	1	FALSE
FXNHighAAV	2794	2156	632	0	0	FALSE
FXNHighAAV	2156	2794	629	0	0	FALSE
FXNHighAAV	2566	612	629	0	0	FALSE
FXNHighAAV	612	2566	629	0	3	FALSE
FXNHighAAV	2566	612	629	0	0	FALSE
FXNHighAAV	2873	2428	443	0	0	FALSE
FXNHighAAV	498	691	191	0	0	FALSE
FXNHighAAV	3247	2341	905	0	12	FALSE
FXNHighAAV	2873	2428	444	0	0	FALSE
FXNHighAAV	498	691	191	0	0	FALSE
FXNHighAAV	3247	2369	877	0	12	FALSE
FXNHighAAV	2567	3018	450	0	18	FALSE
FXNHighAAV	2839	3247	432	0	0	FALSE
FXNHighAAV	2839	3247	405	0	0	FALSE
FXNHighAAV	3247	2839	407	10	3	FALSE
FXNHighAAV	3247	2062	1178	0	0	FALSE
FXNHighAAV	2025	3146	1114	0	15	FALSE
FXNHighAAV	2025	3329	1296	0	63	FALSE
FXNHighAAV	2228	2593	358	0	0	FALSE
FXNHighAAV	2233	2438	198	0	0	FALSE
FXNHighAAV	5263	2912	2342	0	0	FALSE
FXNHighAAV	3247	2213	1027	0	13	FALSE
